008_George_Bond,"Amante de los autos y la tecnología"
alejandrosaag12,"Abogado Universidad de Guadalajara"
AlejandroSchzF,"Me río de las ironías de la vida - entre ellas, yo. Derecho y Relaciones Internacionales, ITAM."
AlejandroSimn2,"tube que incrementar medidas al maximo, luego cuando se calmo la marea ya todo bn volvi"
alejandrosisoma,"Vivir en armonía y paz"
alejandrosole20,"Administrador de empresas"
AlejandroTC,"Venezolano y Caraqueño de pura sepa madre Margariteña y padre Guariqueño, trabajo en consumo masivo, no me arrodillo ante nadie solo ante Dios"
alejandrotello,"| @SomosBlanks | sé algo de comunicación política | y escribo una columna sobre el deporte blanco, el tenis |"
AlejandroUBO,"Lic. en Políticas Públicas (CIDE) | Subdirector de Política Fiscal (SHCP) | In love."
AlejandroVaker9,"no_description"
alejandrovik,"Especialista en Digital Marketing y Medios Digitales | Social Media Strategist | Apple Fan | Geek | Performance & Branding | Digital Marketing Consultant |"
AlejandroZeind,"Abogado UNAM; Master UAB; Especialista UNAM-ITAM-FLACSO; Doctorante Derecho UNAM / RT o FOLLOW ≠ Endorsement. Barro basura ajena."
alejanndra_r,"no_description"
Alejanndrosant,"Musica, Arte, Cantar, Cirugia plástica, leyes, Mascotas. Imposible, no conozco esa palabra. La hago de pedo super rápido."
alejaseg11,"Si a la vida.Open up your mind! Marketing y Negocios internacionales.usa. La risa diaria es buena."
alejavivs,"Ignorante de por vida. Odio mi entorno, no se metan conmigo."
AlejGargal,"......  retwitt a las bellezas que aquí se muestra"
alejilloTol,"Escritor y blogger. Autor de Indra la princesa de fuego y Las aventuras de Nadia y Jonás. Sirvo #LaSopaDeAlex los jueves en alextoledo.mx contacto@alextoledo.mx"
Alejjandra1027,"Instagram: Alejandrag_27"
ALEJO24_19,""
Alejo3Pelos,"Publicista, creativo Copy. Ideas a $1.000 a todo operador."
alejo_sanmo,"Biologist Uniandes (Bogota, Colombia), environmental policy and management, climate change, mountain biker, outdoors and travel junkie, runner in progress."
AlejoAmador,"Comunicador Social. ¡Definitivamente hay que saber y aprender de todo un poco!"
alejoarbelaez4,"Ph.D. en Derecho Constitucional. Profesor en las áreas de Gobernanza y Políticas Públicas para el Desarrollo. Ex Viceministro de Defensa de Colombia"
Alejocardenasp,"Vice Principal, M. Ed, Rush mad fan and collectionist, Latin Jazz Drummer, diving and cliff diving Judge."
alejoch0,"hola bueno chao xD"
AlejoCifuentes,"Estudiante de psicología Ψ en el @Poligran  y tecnologo en Recursos Humanos. Analista de selección."
alejocing,""
alejodo2014,"Araucano de Corazón y Uribista a mucho honor"
alejogamb,"yo no se q es tristeza jajajaja  en las artes tragicas perdon graficas  y muyy azuuuul . sigueme y te seguiré"
alejogavilan,"Esta cuenta es personal mis opiniones no reflejan la posición de mi trabajo! Bienvenidos al perfil de @alejogavilan"
AlejoGB,"Actor • Locutor • Presentador                insta: @alejogb snapchat: alejogb1"
AlejoMaranon,"Asuntos Internacionales- Política. Seguidor del Arte y la Musica. Este, mi espacio de opinión personal. -Colombia-."
ALEJOMICHELLS,"Abogado Constitucionalista.Activista DDHH Poblacion LGBT. Presidente Consejo Local de Propiedad Horizontal de Chapinero. #ChapineroSeRespeta Contacto 3212002146"
alejomora11,"#ManagingDirector / #DesignThinking / #DigitalAdvertising / #DigitalMarketing / #FootballFan / #GrowthHacking Pero sobre todo criticón de #Ideas"
ALEJOMORATO,""
AleJonaticPDC,"Imagina que un chico con un cubo significa el  mundo para mí. #sv | #Lobita | #Canzamaniaca | PDCDFO | #HumanoidesHutrón"
AlejoOlaya,"Economista,Ph.D. Subdirector General @Colciencias. Ex-Director CT+i @GobAntioquia. Docente @UPBcolombia #PolíticaCientífica -Opiniones Personales."
alejoorteg,"vivo mi vida al limite ...  pero siempre respeto a los demas ¿por q no me respetan  a mi ?"
alejoposaday,""
Alejoppjs,""
AlejoQuice,"Periodista, editor, traductor e intérprete (inglés-español)"
alejorala,""
AlejoRojas8511,"Hincha del Deporte en especial del Fútbol: Millonarios FC, Real Madrid. Médico en proceso de Construcción de PEDIATRA. La música motor de la Vida"
alejorueda,"Publicista en el lugar equivocado, fotografo enamorado . Instagam : alejorueda"
alejosandoval20,"Medico General U Sabana !! Corazón de León con Alma Indomable !! Siempre Hincha del Primer Campeón !!! Platea !!"
AlejosDuron,""
AlejoSimbaqueva,"Igual que todos: Experto en pretender que nada ha pasado. Creo en la revolución y en que las ideas de pocos lo cambiarán todo"
alejotrepo,"de vacaciones en colombia"
alejotrujillo11,""
Alejou,"En @TVCDeportes @Excelsior @LasMayores @NewsweekEspanol @ViceSportsLat. Pronto, más noticias! RT No es apoyo. Mi libro: https://t.co/zRoeLRnScU"
AlejoZapQ,""
alejx,"Este personaje no soy yo, aunque es parte de mi.  #SoyTanRudo que envio mis mensajes los envio asi: DM user"
alekhosD,""
alekorol1,""
aleksagc,"Ingeniero en Informática (UPIICSA - 2011) Project Leader - Tata Consultancy Services"
aleksandrosmx,"Communication master // News editor // I'm a eclectic man who loves art, branding, design, fashion, music and technology"
AlekzArceo,"Estudiante de la carrera en Estudios Políticos y de Gobierno de la Universidad de Guadalajara."
Alekzis,"Never shine,if you never burn."
AlekzMaciel,"Periodista. Lector y adicto al cine. Escribo en proyectos ultrasecretos."
alekzrasa,""
alelcapa,"Sin cambios no hay mariposa."
AleleTamayo,"no_description"
Alelinaa,"Diseñadora Editorial FAD UNAM • Lettering • Música • Freelancera en comunicación visual • Peatón aquí y en todo el mundo."
AlelizethC,"Estudiante de economía y políticas públicas,  apasionada de la cultura,  arte,  historia,  ciencia y de más temas"
aleLo00VEe,"no_description"
aleltbd,"Si usted opina lo contrario, se le agradece el aporte. Saludos cordiales."
AleluzA14,"Politics, Advertising, Communication, Friendship, Sports, Books,Family and Music. Everything makes me feel curious"
alema13,"LTF"
AlemAmarildo,""
aleman_23,"Necaxista/ futbolista/ @iberoderecho Yo vi a Miroslav Klose igualar la marca de El Fenómeno en mundiales."
AleMarleyG,"snapchat: ale.marley https://t.co/fEFGepI6m4"
alematago,"Audiófilo."
alemfb12,""
alemon008,"Hoy tampoco fui famosa en twitter, experta en dar RT, las opiniones aquí expresadas son meramente personales"
AleMondras,"Autor de la columna Al Portador. Conductor del noticiero Al Portador y director de Grupo Editorial Status."
alemucinoarroyo,""
AlenBen,""
Alencasterita,"If there's a light at the end, it's just the sun in your eyes."
AlenInfante,"Lic. Publicidad y RRPP / Actriz, Modelo y Cantante Independiente"
alenoruega,"Mi espacio, mi opinión / Me gusta: #Fútbol  #Leer y #Sonreír / Soy #Atlas #Tapatía  #UDG"
ALEOLMOS_PASTI,"Lic. administración de empresas estudiante de MBA especialidad en mercadotecnia, consultor de ventas en Medtronic."
ALEOLVERA007,"Laico, demócrata y liberal. Columnista de ADN informativo y RepublicaOnce email:aleolvera.opinion@gmail.com #LaCrudaVerdad #Querétaro"
aleon_mkt,"❤️ Lo esencial es invisible para los ojos. INSTAGRAM: aleon_mkt"
alepavon2015,"Gracias a todos, soy de la tercera edad, nueva en esto, no le entiendo, ojalá puedan ayudarme, mi nieto me asesora, amante de los Beatles, Pedro Infante."
Aleph349Alfredo,""
aleph54,"Arte, Cine, Fotografía, Literatura"
aleps13,"Comunicólogo. Progre. Inventada. Y lo que guste añadir. alejandroestrada@msn.com"
aleramirezv,""
Alerboada,"Productora de Radio y Televisión. Creativa,emprendedora, con buen humor"
alercilo,"No sabía si ser misógino o filógino, entonces decidí ser ginófago. Abogado de los malos, pseudointelectual posudo, agnóstico, mimado y no tan irreverente."
AleReyesR22,""
alerios,"Open-Innovation Facilitator / Buscando belleza, bondad y Buda / #DesignThinking #InnovacionAbierta #MovilidadSostenible @DistilledInn @goTRYVE"
AleRios__,"ST•JB•LC•CD•DB•JV•DP•MC•JZ•SV•SA•"
AleRomanoJmz,""
AlertaCiudadan,"Alerta Ciudadana es un proyecto que nace de la imperiosa necesidad de estar informados de los acontecimientos violentos que azotan a nuestra sociedad."
AlertaGDL,"Siguenos, y comparte #AlertaGDL para informar accidentes y situaciones de peligro en la ZMG y Jalisco"
AlertaHumor,"::Cuenta Oficial:: Soy Humorista integrante de Sábados Felices y La Luciernaga de Caracol. Contacto Oficial: Cel: 3107681729 Email: showsalertac@gmail.com"
AlertaNews,"El última hora, el último minuto. En Alerta News se monitorean cientos de fuentes alrededor del mundo: oficiales, no oficiales, agencias, testigos y más."
AlertaVialZMG,"Reporteros y #GuardiaNocturna de @Trafico_ZMG recorriendo las calles para llevar la información oportuna y veraz #GDL #TraficoZMG #ZMG #Noticias"
AlertsandNews,"News, alerts, information, commentary and weather. Not monitored 24/7."
aleservin04,"SCREAMER❤PDC❤ BATI-NOVIA❤ZURICATA❤BULLYSTERICA❤PAISANA❤HUMANOIDE❤5SOSFAM❤AURYNER❤MADRIDISTA⚽"
aleshasterne,""
Aleskja,"Empresario y mercadólogo. Intereses principales la política, la economía y como podemos hacer de México un país mejor."
AleSntamaria,"Pies para que los tengo, si tengo alas para volar..."
alesolis,"I'm a huge nerd, tell me something interesting. Also, I'm silently correcting your grammar."
alesosa088,""
alessa_sg,"A veces es mejor seguir como si nada... como si nadie... como si nunca"
AlessCortes,"Le gustan los gatos, la musica y los largos paseos por la playa y las cenas bajo la luna. Retuitero profesional. Experto en kuzcagadas."
alessiusk,""
AlessyJa,""
AleSunda,"Patriots, Barça y Orioles.... Hay veces que calladita me veo mas bonita"
alesza77,"Solo soy Yo; Alita"
aletssherrera,"no_description"
aletsspinosa,""
aletsz_,""
Alewshl,"no_description"
ALEX07RL,"lo más hermoso de la vida es sonreír, y mi sonrisa tiene nombre, y su nombre es Xiomara Delgado."
alex11_lee,"19´ |América & Barcelona |Arabella |"
alex18_alex,"Senior programador PHP, Google developer, AdamJobs web creator, Novio orgulloso, Hijo ejemplo, orgulloso conductor de un SEAT"
alex25pati,""
Alex51rojinegro,"Guadalajara. Jalisco Beautiful Soccer"
alex62190,"no_description"
Alex_Atsoca,"Imposible resumirte en unas cuantas palabras lo que pasa conmigo. No te invito a conocerme porque nunca acabaríamos, pero sí te invito a disfrutar este jale! :)"
alex_belh,"Soy el mejor en lo que hago; pero lo que hago, no es bueno."
Alex_Brambilla,"be a voice not an echo™Legal Consultancy,Government RelationsInternational Business."
Alex_Candamil,"Parcero de #LadyLaVendedoraDeRosas, (AQUÍ TODO ES PARODIA). No soy el actor. Cuenta del actor @BRIANMORENOZ #LaVendedoraDeRosas"
Alex_Cruz_07,""
alex_cu3ro,""
alex_estrada_r,"Creo en la palabra... Mtro en Gobierno y Políticas Públicas UP"
alex_loreto14,"...."
alex_mayorga,"Fixing the world, one tweet at a time..."
Alex_MendozaMX,"Twitter Oficial                                         Contacto Negocios : amendoza.go.es@gmail.com"
alex_navarro85,"Licenciado en Administración de Empresas por la UASLP., Entrepreneur, Desarrollador de Negocios. Próximamente El Gusanito Taquería"
ALEX_OBREGON1,"Político en proceso. Estudiante de Derecho por la Universidad De Las Américas Puebla. Amante del deporte de calidad. #PorUnMejorPaís #PartidoAcciónNacional."
ALEX_PARGA,"No importa qué tanto suban el bass, tú eres el treble que suena más fuerte. #Party"
alex_pixel,"libertarian , Objective, multlingual, problem solver,libre mercado, capitalista, tu ne cede malis, Quis custodiet ipsos custodes? Full time Nerd,ΜΟΛΩΝ ΛΑΒΕ #LET"
Alex_RoAc,"Skål!"
Alex_Sada1,"EX #ITESM , EX #TULANE UNIVERSITY ,PRO #DDHH, ANTI PRI , ANTI POPULISTAS, ANTI COMUNISTAS, ANTI CORRUPTOS Y ANTI FANÁTICOS IRRACIONALES #MZ2018 #YoConMexico"
alex_tended,"(Computer * Science * Creativity)"
alex_var20,""
alex_velez26,"Corretaje, remodelación y mantenimiento de inmuebles residenciales y comerciales. Asesoría jurídica patrimonial, civil, admvo. info@expansionpatrimonial.com"
alex_villa_15,"snapchat: alex14vf"
Alex_Zapatta,"Negreando a los blancos y blanqueando a los negros para cuando sean blancos negrearlos"
Alexa123mdz,"Tengo 27 años, soy ing petrolera, me encanta pasar los fines de semana en la playa."
alexa_levine,"Vivir, conocer, descubrir, viajar, reír y sonreír. Free Spirit. Law is all you need. Corporate Lawyer. F.D.UNAM, L.D./ E.D.C.E."
AlexaActriz,""
alexabreo22,"Paz para México y justicia para Ayotzinapa."
alexacacho,"mom happy ❤️"
alexaherro,"Digital & New Media | Difusión Cultural. I'm not a concept, follow: @cervezaclarita."
alexaimartinez1,"no_description"
AlexAlanisV,"Rockstar frustrado..."
alexalbizo21,"El hecho de que alguien se tropiece y se pierda en el camino no significa que siempre estará perdido...."
AlexAldaz,"Official Alex Aldaz´s Twitter. Verified."
AlexAlfaro48,"Periodista Deportivo /  Reportero en @Pressportmx y @WRADIOMexico. OPINIONES PERSONALES"
alexalihp,"Verbum vivit, vivit semper.Entender para escuchar. Escuchar para hablar."
Alexand13569792,""
alexanderovale,"Administrador turístico y hotelero y de Propiedad Horizontal.Solo tengo afán de vivir no de morir amo mi viejo y el Arsenal. Detestó las personas presupuestales"
alexanderr2088,"Abogado, Liberal hijo de Dios Bogotáno hincha de Millonarios ,Real Madrid"
alexandervelcia,"Mexican.  Living in Guadalajara. 29 years. LOVE: Music, Nature, Family, Dogs.    Style & Art.Student at the University of Guadalajara."
alexandra2133,""
alexandre_hdz,"hala madrid/100% chiva / light my fire !!"
alexandro_mt,"Un ser humano publicitario con espíritu emprendedor. Es momento de conectar nuestras ideas."
AlexandroTorino,"Piloto, Barbajan de corazón y Filósofo Contemporáneo."
alexandrovill,"Me gusta el analisis de la noticia, compartirla y busco siempre la verdad sin mimetismos..."
AlexAnguiano80,"UNITEC fac Derecho   Que el esfuerzo sea más que el de ayer pero menos que el de mañana"
AlexAnuzita,"Es tan fácil, pero no puedo hacerlo; Tan arriesgado, pero tengo que intentarlo; tan divertido, pero no hay nada de que reír al respecto."
alexarauz60,"ESTUDIE EN LA UNAM FMVZ. AMO LOS ANIMALES, PUMA DE CORAZON, SI NECESITAN UN CONSEJO NO DUDEN EN PEDIDRMELO. ME GUSTA VIAJAR. MEgUSTAN LOS IDIOMAS."
alexarivs27,""
alexavedra1,""
alexbaldes,"La historia que no fue..."
AlexBolas,"Zurdo, alivianado, jazzero, rockero... me gusta andar en bicicleta, ¡y los tacos!"
ALEXCARPIZO,"http://t.co/bfo0VkFHs7 Amar sin ser amado es como limpiarse el culo sin haber cagado."
alexcatalan19,""
alexcep7,"Arriba arriba y muy lejos!"
ALEXCHICONAUTA,"AUTOR  DE PERFIL #ORGULLOSO DE SER MEXICANO. CREO EN LA ALTERNANCIA SIN ODIO Y SIN VIOLENCIA"
Alexcorred16,"Comunicador Social - Periodista. Esp Comunicaciones Corporativas. Peñalosa es esperanza para Bta.  Opiniones personales."
alexcossyleon,"Arquitecto, Tapatio, Me gusta el Rock clasico y el Futbol..........atlista desde 1985"
alexdeleont,"Alex de Leon on the network"
AlexDraknel,"YoungRepublican, activista pro sextuiteras, identidad secreta: klinexman,Estudiante de la Universidad Autónoma de Yucatán"
alexducas,""
alexDwarrant,"RAPERO,GUITARRISTA, SU PENDEJO FUTBOLISTA, PORRO, INGENIERO CAMPEON MUNDIAL DE ERES, PSICOLOGO,MAL AMIGO Y MENTIROSO. #BLACKQUEEN"
Alexenlacalle,"Reportero. Si tiene una historia que contar o una denuncia que hacer, cuénteme. Si quiere saber qué ocurre en las calles de Bogotá, sígame."
ALEXFDZ,"Comediante. -- Instagram: elalexfdz -- Snap @SoyAlexFdz -- contacto@alexfdz.mx"
Alexfrancobada,""
AlexFuentesCont,"IIS - Procurement Manager @ Exiros"
AlexGarcia105,"Nombre:Alex. Edad: siempre joven. Localidad: Leon Bicampeon.... ESCUPO A POLITICOS Y ANARQUISTAS. Me hago responsable de lo que digo, no de lo que entiendan"
alexgarcia1984,"Cuando las palabras fallan la musica las reemplaza"
alexgf55,""
AlexGomora,""
alexgrodzero,""
ALEXHSILLO,"Soy uno de los Diputados más jóvenes de Jalisco, actual Presidente del Congreso. Quiero demostrar que se pueden hacer las cosas bien, sin ensuciarse, cercanos."
alexiamancilla1,"11:14 #SiempreJuntos#Bautisters"
alexigari62,"Intelectual, alegre, creativo, social, asertivo, moderado, cientifico, religioso, filosofo, psicologo."
alexiisBarrera7,"| CLUB SANTOS | REAL MADRID |"
alexinho_acosta,""
alexis_jjg,"Licenciada en Comunicación por la UNAM. #CommunityManager en @tallerarteluz y colaboradora en @cdperiodismoA girl with messy hair #DogsLover #Wanderlust #Music"
Alexis_MR,"Commercial Relationship Manager at Grupo Nuuk. Ideando cómo conquistar el mundo."
